Nazev;Frakce;Pechota;Jizda;Artilerie;Barva
Faland;Aliance;12;5;3;120-90-40
faland;Aliance;8;2;1;120-90-40
FALAND;Aliance;4;1;0;120-90-40
Skarn;Horda;20;5;4;200-20-20
skarn;Horda;10;2;1;200-20-20
Eldoria;Aliance;15;6;3;50-100-200
eldoria;Aliance;7;2;1;50-100-200
Thorn;Horda;18;4;2;180-50-50
Velkar;Aliance;22;3;1;40-150-220
Krag;Horda;16;3;2;150-60-40
faland;Aliance;3;1;0;120-90-40
Skarn;Horda;6;1;0;200-20-20
Miralas;Aliance;14;5;2;70-180-240
Rivoria;Horda;11;4;2;210-55-55
Vernon;Aliance;9;3;1;80-120-200
Torvak;Horda;13;0;2;170-30-30
Arken;Aliance;10;2;1;60-140-200
arken;Aliance;5;1;0;60-140-200
Felandor;Horda;12;3;1;200-40-40
felandor;Horda;4;1;1;200-40-40
Miralas;Aliance;6;1;1;70-180-240
Thorn;Horda;5;1;0;180-50-50
VELKAR;Aliance;3;1;0;40-150-220
Krag;Horda;7;2;1;150-60-40
Skarn;Horda;9;2;1;200-20-20
Faland;Aliance;0;1;1;120-90-40
Eldoria;Aliance;4;2;1;50-100-200
eldoria;Aliance;3;1;0;50-100-200
Torvak;Horda;8;1;0;170-30-30
Miralas;Aliance;5;1;0;70-180-240
Vernon;Aliance;7;2;1;80-120-200
Faland;Aliance;1;1;0;120-90-40
skarn;Horda;3;1;0;200-20-20
Arken;Aliance;8;2;1;60-140-200
felandor;Horda;3;1;0;200-40-40
Thorn;Horda;4;1;0;180-50-50
Krag;Horda;5;1;1;150-60-40
Eldoria;Aliance;6;1;0;50-100-200
Velkar;Aliance;5;1;1;40-150-220
Vernon;Aliance;3;1;0;80-120-200
Torvak;Horda;5;1;1;170-30-30
Miralas;Aliance;4;1;0;70-180-240
Arken;Aliance;6;2;0;60-140-200
Rivoria;Horda;7;2;1;210-55-55
felandor;Horda;2;1;0;200-40-40
Thorn;Horda;6;1;1;180-50-50
Skarn;Horda;5;1;1;200-20-20
FALAND;Aliance;3;1;0;120-90-40
eldoria;Aliance;2;1;0;50-100-200
